time,gFx,gFy,gFz,TgF,is_fall
17.3,-0.9503,-0.1294,-0.1824,0.98,0
17.4,-1.1659,-0.2803,-0.2871,1.23,0
17.5,-1.0609,-0.3909,0.1492,1.14,0
17.6,-1.1317,0.0083,0.1653,1.14,0
17.7,-0.7413,-0.0642,0.0408,0.75,0
17.8,-0.8829,-0.0222,-0.0461,0.88,0
17.9,-1.1046,-0.1333,-0.1177,1.12,0
18,-1.1949,0.0112,-0.2823,1.23,0
18.1,-0.9342,-0.0982,0.2469,0.97,0
18.2,-1.1215,-0.4207,0.1011,1.2,0
18.3,-0.8546,-0.0842,-0.054,0.86,0
18.4,-0.8299,-0.1795,-0.0388,0.85,0
18.5,-1.0162,-0.1458,-0.2381,1.05,0
18.6,-1.191,-0.2356,-0.3763,1.27,0
18.7,-0.9115,-0.2298,0.2981,0.99,0
18.8,-1.119,-0.0391,0.2097,1.14,0
18.9,-0.7498,0.0271,0.0349,0.75,0
19,-0.8639,-0.0894,-0.0505,0.87,0
19.1,-1.0992,-0.0945,-0.2114,1.12,0
19.2,-1.1864,-0.1226,-0.3128,1.23,0
19.3,-0.8416,-0.1716,0.4153,0.95,0
19.4,-1.0438,-0.0342,0.0576,1.05,0
19.5,-0.7989,-0.1477,0.0144,0.81,0
19.6,-0.7977,-0.0872,-0.0825,0.81,0
19.7,-1.0211,-0.239,-0.3037,1.09,0
19.8,-1.4386,-0.3208,-0.4698,1.55,0
19.9,-1.1195,0.0742,0.6697,1.31,0
20,-0.9063,-0.0884,-0.0459,0.91,0
20.1,-0.755,-0.0894,-0.0227,0.76,0
20.2,-0.9742,0.0386,-0.1765,0.99,0
20.3,-1.1898,0.2486,-0.3211,1.26,0
20.4,-1.2765,-0.1218,-0.0459,1.28,0
20.5,-1.077,-0.5223,0.4395,1.28,0
20.6,-0.7906,0.0432,-0.1292,0.8,0
20.7,-0.6898,-0.3162,-0.085,0.76,0
20.8,-0.9747,-0.0283,-0.431,1.07,0
20.9,-1.3327,-0.2722,-0.5882,1.48,0
21,-0.87,-0.4554,0.2901,1.02,0
21.1,-1.1588,-0.1248,-0.0735,1.17,0
21.2,-0.6873,0.0305,-0.0623,0.69,0
21.3,-0.8109,-0.1812,-0.0002,0.83,0
21.4,-1.1747,0.0022,-0.3601,1.23,0
21.5,-1.4123,-0.0547,-0.2466,1.43,0
21.6,-0.8375,-0.6949,0.4671,1.18,0
21.7,-0.963,0.053,-0.0437,0.97,0
21.8,-0.7645,-0.1116,-0.1384,0.78,0
21.9,-0.825,-0.2241,-0.2857,0.9,0
22,-1.0152,-0.4891,-0.3814,1.19,0
22.1,-1.2028,-0.4783,-0.2075,1.31,0
22.2,-1.1742,-0.1025,0.138,1.19,0
22.3,-0.8111,-0.2449,-0.2813,0.89,0
22.4,-0.7301,0.0425,-0.0393,0.73,0
22.5,-0.9442,0.0186,-0.3194,1,0
22.6,-1.1803,0.0649,-0.2613,1.21,0
22.7,-1.3937,-0.0974,-0.3125,1.43,0
22.8,-0.9947,-0.556,0.1856,1.15,0
22.9,-0.858,-0.0032,-0.1135,0.87,0
23,-0.6876,-0.2088,-0.1734,0.74,0
23.1,-0.9352,-0.105,-0.3453,1,0
23.2,-1.2428,-0.3311,-0.7552,1.49,0
23.3,-0.9032,-0.4656,-0.124,1.02,0
23.4,-1.0753,-0.2207,0.0112,1.1,0
23.5,-0.7301,-0.1218,-0.2241,0.77,0
23.6,-0.8048,-0.1611,-0.1436,0.83,0
23.7,-1.0514,-0.0015,-0.4109,1.13,0
23.8,-1.2794,-0.054,-0.566,1.4,0
23.9,-0.8519,-0.2867,-0.1282,0.91,0
24,-0.9784,-0.1231,0.1089,0.99,0
24.1,-0.7508,-0.1431,-0.2835,0.82,0
24.2,-0.7152,-0.1277,-0.2219,0.76,0
24.3,-1.1027,-0.2832,-0.4732,1.23,0
24.4,-1.1476,-0.3724,-0.6094,1.35,0
24.5,-0.8656,-0.3223,0.0938,0.93,0
24.6,-1.0638,0.0063,-0.2007,1.08,0
24.7,-0.6292,-0.0781,-0.0081,0.63,0
24.8,-0.8753,-0.0017,-0.2478,0.91,0
24.9,-1.2584,0.105,-0.242,1.29,0
25,-1.3009,0.0293,-0.2012,1.32,0
25.1,-0.9349,-0.5357,0.1233,1.08,0
25.2,-0.8084,-0.1111,-0.1797,0.84,0
25.3,-0.7249,-0.168,-0.2942,0.8,0
25.4,-0.8792,-0.1741,-0.511,1.03,0
25.5,-1.2125,-0.2644,-0.89,1.53,0
25.6,-0.9657,-0.4893,-0.1309,1.09,0
25.7,-1.0633,-0.4139,-0.116,1.15,0
25.8,-0.8368,0.0647,-0.3545,0.91,0
25.9,-0.7662,-0.1214,-0.0347,0.78,0
26,-1.037,-0.0103,-0.5552,1.18,0
26.1,-1.2538,0.0103,-0.6378,1.41,0
26.2,-0.8763,-0.3108,0.0845,0.93,0
26.3,-1.2147,-0.1616,-0.1289,1.23,0
