time,x,y,z,TgF
17.2740,-0.2884,0.2708,0.8834,0.97
17.3740,-0.1528,0.3125,0.7369,0.81
17.4750,-0.2368,0.0479,1.3280,1.35
17.5750,-0.1533,0.2556,0.7874,0.84
17.6750,-0.1455,0.2539,0.9835,1.03
17.7750,-0.3453,0.2466,1.0299,1.11
17.8750,-0.3631,0.2447,0.8914,0.99
17.9760,-0.4788,0.2678,0.9674,1.11
18.0760,-0.3428,0.0549,1.1847,1.23
18.2010,-0.5806,0.1404,0.7476,0.96
18.3070,-0.2534,0.1030,0.9212,0.96
18.3800,-0.3948,0.2859,0.8270,0.96
18.4790,-0.3472,0.3279,1.0082,1.12
18.5800,-0.3689,0.3135,0.8685,0.99
18.6810,-0.2730,0.3457,0.8338,0.94
18.7800,-0.1450,0.3821,0.9955,1.08
18.8810,-0.3445,0.1968,1.2504,1.31
18.9810,-0.1878,0.1697,0.6632,0.71
19.0810,-0.1333,0.0725,1.0223,1.03
19.1810,-0.2647,0.1673,0.9486,1.00
19.2820,-0.3570,0.3018,0.7879,0.92
19.3820,-0.4114,0.2854,1.0240,1.14
19.4840,-0.4764,0.2383,1.1224,1.24
19.6130,-0.0251,0.0256,0.7398,0.74
19.6840,-0.5503,0.1970,0.7733,0.97
19.7850,-0.2005,0.1297,0.7994,0.83
19.8860,-0.1782,0.2854,0.7503,0.82
19.9850,-0.2727,0.2835,1.0863,1.16
20.0860,-0.2764,0.2617,1.0685,1.13
20.1870,-0.2869,-0.0010,1.4850,1.51
20.2870,-0.2725,0.2525,0.6348,0.74
20.3870,-0.1013,-0.0581,1.0917,1.10
20.5020,-0.2097,0.1160,0.7042,0.74
20.5890,-0.3401,0.2791,0.7557,0.87
20.6900,-0.4073,0.3150,0.8128,0.96
20.7900,-0.3719,0.0193,1.5058,1.55
20.8900,-0.4139,0.1983,0.4751,0.66
20.9920,-0.4273,0.1892,0.9598,1.07
21.0920,-0.3035,0.3133,0.7044,0.83
21.1920,-0.3089,0.2969,0.9825,1.07
21.2930,-0.2161,0.2354,1.1903,1.23
21.3930,-0.3802,0.1775,1.2450,1.31
21.4930,-0.0964,0.0747,0.8145,0.82
21.5930,-0.4952,0.1072,0.9796,1.10
21.6930,-0.2559,0.0422,0.8221,0.86
21.7950,-0.3416,0.2122,0.5506,0.68
21.8950,-0.5059,0.1741,0.8101,0.97
21.9980,-0.5948,0.1128,1.1346,1.29
22.0980,-0.2815,0.1216,1.0931,1.14
22.1980,-0.7459,0.1528,0.7911,1.10
22.2980,-0.4222,0.1262,0.6905,0.82
22.3990,-0.3274,0.1868,0.7352,0.83
22.4990,-0.1941,0.2210,0.9488,0.99
22.5990,-0.2835,0.1861,1.3527,1.39
22.6990,-0.4324,0.0002,1.5097,1.57
22.7990,-0.3943,0.1958,0.5550,0.71
22.9000,-0.3372,0.0125,1.1092,1.16
23.0000,-0.3821,0.1182,0.6890,0.80
23.1000,-0.3531,0.2219,0.5052,0.66
23.2000,-0.4639,0.2190,0.7247,0.89
23.3000,-0.7247,0.1270,1.2902,1.49
23.4010,-0.4432,0.1568,0.9928,1.10
23.5010,-0.7689,0.1643,0.7159,1.06
23.6010,-0.1953,0.0576,0.6629,0.69
23.7010,-0.2527,0.1668,0.7913,0.85
23.8010,-0.1660,0.2385,1.0538,1.09
23.9020,-0.4261,0.1580,1.5517,1.62
