time,x,y,z,TgF
45.2290,-0.9298,-0.0645,-0.0359,0.93
45.3300,-1.0843,0.2393,0.0230,1.11
45.4320,-0.8267,0.0659,0.3335,0.89
45.5320,-1.3495,0.3128,0.1157,1.39
45.6330,-0.8297,0.0720,0.0894,0.84
45.7340,-0.8910,0.3028,0.0288,0.94
45.8350,-1.0196,0.2322,0.0178,1.05
45.9340,-1.2125,-0.2830,0.1489,1.25
46.0350,-1.3573,-0.0120,0.3406,1.40
46.1350,-0.7669,0.0842,0.2329,0.81
46.2350,-0.8565,0.0005,-0.0767,0.86
46.3360,-1.1290,0.0437,-0.0625,1.13
46.4360,-1.3620,-0.0964,0.1199,1.37
46.5360,-0.9630,0.0662,0.6129,1.14
46.6370,-0.9234,0.1602,0.0850,0.94
46.7370,-0.7547,0.0515,0.1902,0.78
46.8370,-0.9601,0.1189,0.1184,0.97
46.9370,-1.1141,0.1052,0.2002,1.14
47.0380,-1.3954,0.2576,0.3313,1.46
47.1380,-0.9483,-0.2422,0.3833,1.05
47.2390,-0.9413,0.0366,0.2273,0.97
47.3390,-0.7755,-0.0535,0.0432,0.78
47.4390,-0.9386,-0.0234,-0.1170,0.95
47.5410,-1.4303,0.0339,-0.3142,1.46
47.6420,-1.0616,-0.1558,0.1272,1.08
47.7410,-1.1429,-0.1611,0.3702,1.21
47.8410,-0.7288,0.0901,0.0718,0.74
47.9430,-0.8131,0.0337,0.1587,0.83
48.0420,-1.1693,0.0671,0.0293,1.17
48.1420,-1.4745,0.1690,-0.0874,1.49
48.2430,-0.7078,-0.0984,0.3826,0.81
48.3420,-1.1493,0.1638,0.2410,1.19
48.4430,-0.8289,-0.0107,0.0129,0.83
48.5470,-0.6800,-0.2273,-0.0352,0.72
48.6460,-1.2511,0.0251,-0.2715,1.28
48.7460,-1.2887,-0.2469,-0.1765,1.32
48.8460,-0.9960,-0.3562,0.4310,1.14
48.9460,-0.9300,0.1594,0.0886,0.95
49.0460,-0.7281,-0.0364,0.1665,0.75
49.1460,-1.0641,0.0623,-0.0022,1.07
49.2480,-1.3624,0.3120,0.1194,1.40
49.3500,-0.9154,-0.0259,0.3072,0.97
49.4500,-1.2750,0.0549,0.1514,1.29
49.5500,-0.7655,-0.0879,0.0049,0.77
49.6500,-0.6622,-0.1677,-0.0628,0.69
49.7500,-1.1981,0.0281,-0.1846,1.21
49.8550,-1.5024,-0.0945,-0.3321,1.54
49.9520,-0.8194,-0.2110,0.4400,0.95
50.0530,-0.9842,0.1304,-0.0378,0.99
50.1530,-0.6939,0.0525,0.2429,0.74
50.2530,-1.0665,0.0925,0.0132,1.07
50.3570,-1.2125,0.3006,0.1873,1.26
50.4550,-1.1857,0.1792,0.2625,1.23
50.5550,-1.0672,-0.2227,0.3284,1.14
50.6560,-0.7938,-0.1504,0.1233,0.82
50.7560,-0.7205,-0.1299,-0.0005,0.73
50.8580,-0.9452,0.0339,-0.2009,0.97
50.9630,-1.4716,0.1585,-0.5118,1.57
51.0620,-0.8617,-0.1338,0.1306,0.88
51.1630,-1.1837,-0.1157,0.0376,1.19
51.2630,-0.7166,0.0894,0.0928,0.73
51.3630,-0.8602,0.0325,0.0764,0.86
51.4650,-1.2577,0.1250,0.0115,1.26
51.5650,-1.4733,0.0794,0.0427,1.48
51.6650,-0.7423,-0.3758,0.4585,0.95
51.7650,-1.0091,0.0725,0.1030,1.02
51.8680,-0.7569,-0.0388,-0.0823,0.76
51.9670,-0.8162,-0.1343,-0.0554,0.83
52.0690,-1.3754,-0.1353,-0.2295,1.40
52.1690,-1.1595,-0.2063,-0.3587,1.23
52.2730,-0.8014,-0.1773,0.2823,0.87
52.3700,-0.9488,0.1961,0.0647,0.97
52.4730,-0.6898,0.0037,0.2132,0.72
52.5730,-1.0585,0.1004,-0.0466,1.06
52.6730,-1.3705,0.3167,-0.0029,1.41
52.7730,-0.9715,0.1216,0.1760,0.99
52.8780,-1.1495,0.0176,0.2947,1.19
52.9780,-0.7606,-0.0537,0.0569,0.76
53.0780,-0.7633,-0.1109,-0.0061,0.77
53.1790,-1.1341,0.0439,-0.2459,1.16
53.2790,-1.4228,-0.0356,-0.4683,1.50
53.3810,-0.8480,-0.0740,0.3770,0.93
53.4800,-1.1788,0.1455,-0.2581,1.22
53.5800,-0.6187,0.0613,0.1944,0.65
53.6810,-1.0013,0.0413,-0.0212,1.00
53.7810,-1.2189,0.2569,0.1966,1.26
53.8810,-1.2672,0.1345,0.1729,1.29
53.9810,-1.0016,-0.3133,0.3499,1.11
54.0820,-0.7657,-0.1262,0.0737,0.78
54.1830,-0.8145,-0.0288,-0.0515,0.82
54.2830,-0.9693,0.0254,-0.1653,0.98
54.3830,-1.4667,0.1475,-0.5064,1.56
54.4840,-0.8529,-0.1245,0.0762,0.87
54.5830,-1.1529,-0.1372,0.1475,1.17
54.6830,-0.6675,0.1533,0.1111,0.69
54.7830,-0.8377,0.0750,0.0798,0.84
