x,y,z
-0.658401,-0.736755,-0.147812
-0.655197,-0.737213,-0.147125
-0.664612,-0.738022,-0.152359
-0.65506,-0.741608,-0.145874
-0.65686,-0.740646,-0.147781
-0.657608,-0.740005,-0.151657
-0.652664,-0.744583,-0.151901
-0.650879,-0.745987,-0.149139
-0.649475,-0.745682,-0.148361
-0.642715,-0.743958,-0.141418
-0.645737,-0.752762,-0.144318
-0.636993,-0.763168,-0.144272
-0.62236,-0.748474,-0.131729
-0.623215,-0.768967,-0.128387
-0.591492,-0.781357,-0.119675
-0.585327,-0.772659,-0.209564
-0.630615,-0.746872,-0.141632
-0.599182,-0.765335,-0.203339
-0.623627,-0.819641,-0.145279
-0.605515,-0.824371,-0.166916
-0.561371,-0.743591,-0.25383
-0.604752,-0.711411,-0.173218
-0.609909,-0.650284,-0.093094
-0.785522,-0.932343,-0.070663
-0.727722,-0.816803,-0.110397
-0.669434,-0.798508,-0.14621
-0.353912,-0.681625,-0.251694
-0.450638,-0.713013,-0.035217
-0.756073,-1.04837,-0.15097
-0.574646,-0.94519,-0.417633
-0.476166,-0.652664,-0.098053
-0.43335,-0.518112,-0.156815
-0.610397,-0.828476,-0.036621
-0.792557,-1.024902,-0.127014
-0.693939,-0.85997,-0.115662
-0.4431,-0.594849,-0.084763
-0.322647,-0.589767,0.026611
-0.993256,-1.191742,-0.347198
-0.607971,-0.797623,-0.460815
-0.48111,-0.57254,-0.148422
-0.481277,-0.494934,-0.203522
-0.696564,-1.035706,-0.016739
-0.821198,-1.037552,-0.151917
-0.651596,-0.808624,-0.112396
-0.428726,-0.532104,0.009567
-0.521149,-0.872406,-0.025589
-0.744751,-1.105331,-0.211807
-0.537231,-0.733902,-0.385864
-0.472626,-0.546951,-0.18808
-0.46373,-0.432938,-0.222458
-0.725082,-1.04657,-0.024216
-0.73909,-0.969513,-0.17128
-0.529037,-0.720581,-0.098404
-0.489075,-0.5755,0.023804
-0.527985,-0.798889,-0.004684
-0.916672,-1.285263,-0.29451
-0.634842,-0.763763,-0.36937
-0.504456,-0.574493,-0.217438
-0.462296,-0.466064,-0.243652
-0.609818,-0.8638,0.021118
-0.848526,-1.167587,-0.089172
-0.605423,-0.800034,-0.121307
-0.390915,-0.609619,0.020294
-0.484131,-0.686356,-0.032303
-0.869919,-1.168152,-0.161972
-0.435089,-0.849701,-0.554718
-0.496521,-0.594894,-0.056671
-0.580917,-0.668396,-0.31044
-0.591965,-0.953384,0.085831
-0.821381,-1.077484,-0.201508
-0.547394,-0.68541,-0.030563
-0.432816,-0.451523,-0.084473
-0.654572,-0.73645,0.060699
-0.780457,-1.140839,-0.2034
-0.626099,-0.73378,-0.851273
-0.521362,-0.671082,-0.185745
-0.49527,-0.596329,-0.027496
-0.597504,-0.817337,-0.02951
-0.731827,-1.020676,-0.1091
-0.610718,-0.828842,-0.120682
-0.556885,-0.606293,-0.197739
-0.413483,-0.741318,-0.110977
-0.750732,-1.087402,-0.174271
-0.580338,-0.859756,-0.308243
-0.493988,-0.581543,-0.146713
-0.401657,-0.479599,-0.053925
-0.733826,-1.049469,0.046692
-0.826828,-1.152878,-0.139114
-0.566299,-0.740723,-0.086594
-0.447952,-0.400757,-0.302567
-0.605042,-0.91011,-0.191559
-0.747116,-1.215424,-0.127625
-0.559097,-0.757034,-0.340851
-0.508606,-0.506271,-0.18129
-0.444839,-0.494415,-0.134842
-0.733185,-1.056396,-0.008926
-0.76886,-1.013382,-0.098694
-0.491638,-0.726624,-0.085648
-0.398712,-0.605728,0.006851
-0.582184,-0.817703,-0.038162
-0.679169,-1.003281,-0.268082
-0.670227,-0.817535,-0.171906
-0.537323,-0.588318,-0.274155
-0.395477,-0.575577,-0.054184
-0.726913,-1.069427,0.132401
-0.702652,-1.025177,-0.0802
-0.498703,-0.76001,0.019241
-0.476456,-0.659454,-0.124588
-0.649368,-0.817932,0.121307
-0.54805,-0.77858,-0.140503
-0.524048,-0.818558,-0.12854
-0.537399,-0.76445,-0.181427
-0.594116,-0.789001,-0.212189
-0.587662,-0.746368,-0.143219
-0.554718,-0.789856,-0.163589
-0.594421,-0.773407,-0.136765
-0.604187,-0.804199,-0.14653
-0.613846,-0.794235,-0.115005
-0.591675,-0.796478,-0.121445
-0.61116,-0.792542,-0.111694
-0.594681,-0.819992,-0.118607
-0.613037,-0.7742,-0.117371
-0.583801,-0.811523,-0.120468
-0.60289,-0.784027,-0.119003
-0.577271,-0.804886,-0.121384
-0.597656,-0.792603,-0.128387
-0.584183,-0.803467,-0.122589
-0.59198,-0.798279,-0.122971
-0.593216,-0.798416,-0.126755
-0.598755,-0.791473,-0.121094
-0.593796,-0.795715,-0.127808
-0.602844,-0.796646,-0.133667
-0.595352,-0.794922,-0.123352
-0.613052,-0.78598,-0.133392
-0.610931,-0.78566,-0.129929
-0.610138,-0.78569,-0.12999
-0.608795,-0.783142,-0.138382
-0.611465,-0.782471,-0.131241
-0.607925,-0.783493,-0.134735
-0.604599,-0.786865,-0.135132
-0.604187,-0.77771,-0.138535
-0.605316,-0.788666,-0.129486
-0.61264,-0.78273,-0.134293
-0.613571,-0.784821,-0.137909
-0.58699,-0.792374,-0.130295
-0.600784,-0.785034,-0.116638
-0.612595,-0.821259,-0.115982
-0.572174,-0.757156,-0.103394
-0.612717,-0.750458,-0.114807
-0.627289,-0.777924,-0.100006
-0.585754,-0.807968,-0.096939
-0.575317,-0.782242,-0.071716
-0.586624,-0.826248,-0.057678
-0.554016,-0.8685,-0.066299
-0.548859,-0.844025,-0.046005
-0.545258,-0.839828,-0.054932
-0.592346,-0.816833,-0.076019
-0.593124,-0.795792,-0.078308
-0.595749,-0.800735,-0.089722
-0.575058,-0.810318,-0.080292
-0.572861,-0.818207,-0.082535
-0.566299,-0.826569,-0.088318
-0.587082,-0.814941,-0.090408
-0.58075,-0.81546,-0.087265
-0.564758,-0.818756,-0.082123
-0.573044,-0.82756,-0.081009
-0.566422,-0.818604,-0.090622
-0.583115,-0.823593,-0.100357
-0.578217,-0.816299,-0.091797
-0.56987,-0.812119,-0.098511
-0.57547,-0.818832,-0.111145
-0.530472,-0.837036,-0.187042
-0.569199,-0.823425,-0.275955
-0.619003,-0.759293,-0.244736
-0.567291,-0.759827,-0.240219
-0.545227,-0.757492,-0.268433
-0.532471,-0.769836,-0.295593
-0.547256,-0.748856,-0.29425
-0.591522,-0.750732,-0.346451
-0.549805,-0.847153,-0.237122
-0.593613,-0.825195,-0.103333
-0.63269,-0.817108,-0.114792
-0.65831,-0.766235,-0.103989
-0.573196,-0.788406,-0.110748
-0.595413,-0.818008,-0.089493
-0.65004,-0.778656,-0.063904
-0.647675,-0.76001,-0.057037
-0.643097,-0.763641,-0.047775
-0.621674,-0.833115,-0.050919
-0.519775,-0.772049,-0.095566
-0.479553,-0.913437,-0.211243
-0.402512,-0.884567,-0.235687
-0.527374,-0.801025,-0.143875
-0.471222,-0.828018,-0.416611
-0.559982,-0.828964,-0.050369
-0.505173,-0.830231,-0.236969
-0.497406,-0.789185,-0.23494
-0.521881,-0.814941,-0.106903
-0.56282,-0.892593,-0.164856
-0.573746,-0.87178,-0.052094
-0.52887,-0.788467,-0.030884
-0.546387,-0.784775,-0.08046
-0.573608,-0.74295,-0.194199
-0.528931,-0.735611,-0.137146
-0.522568,-0.758423,-0.1698
-0.574905,-0.888916,-0.172333
-0.597626,-0.77446,-0.159103
-0.795349,-0.760483,-0.475845
-0.671097,-0.840225,-0.382751
-0.815109,-0.682129,-0.477371
-0.672058,-0.668701,-0.293427
-0.723755,-0.604218,-0.326263
-0.754105,-0.51593,-0.374252
-0.795578,-0.527023,-0.3806
-0.783875,-0.507523,-0.406235
-0.77478,-0.487625,-0.429474
-0.775879,-0.476776,-0.431107
-0.758957,-0.491684,-0.47319
-0.742447,-0.493713,-0.428787
-0.747833,-0.512283,-0.443527
-0.739685,-0.506607,-0.443375
-0.750122,-0.512848,-0.430878
-0.749313,-0.506454,-0.435089
-0.739807,-0.512909,-0.424759
-0.751175,-0.516663,-0.427414
-0.751648,-0.510666,-0.423691
-0.750046,-0.514496,-0.410599
-0.762466,-0.516663,-0.393341
-0.763794,-0.492722,-0.401215
-0.76149,-0.528656,-0.366058
-0.780853,-0.543091,-0.332001
-0.813873,-0.516068,-0.262558
-0.864838,-0.510681,-0.204575
-0.835953,-0.5952,-0.231491
-0.819687,-0.500519,-0.124313
-0.910904,-0.6474,-0.154648
-0.818008,-0.590591,-0.057266
-0.580704,-0.990433,-0.043823
-0.564163,-0.897934,0.012283
-0.578201,-0.888718,-0.031052
-0.536972,-0.924973,-0.052887
-0.494629,-0.78894,-0.021835
-0.507599,-0.8172,-0.116776
-0.487488,-0.780045,-0.069916
-0.5168,-0.747894,-0.086212
-0.487274,-0.728241,-0.08049
-0.481705,-0.832138,-0.042175
-0.508698,-0.780945,-0.04541
-0.588608,-0.873291,-0.036926
-0.572296,-0.821503,-0.024475
-0.5849,-0.813065,-0.066925
-0.573395,-0.785568,0.012131
-0.593262,-0.805801,-0.035538
-0.589279,-0.773712,-0.063934
-0.627411,-0.787689,-0.084122
-0.603241,-0.786224,-0.037094
-0.609451,-0.79512,-0.112396
-0.608032,-0.786972,-0.121414
-0.621765,-0.784332,-0.110352
